instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
107,375,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0.12,0
108,791,1,1,1,2,2,4,2,1,1,0,0,1,1,0,1,0,2,1,2,1,2,1,1,2,1,0,2,2,1,0,0.31,0
109,29,1,1,0,2,2,4,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,1,0,0,1,0,2,2,0,0,0.13,0
110,281,0,0,1,0,0,1,0,1,0,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.28,0
111,789,0,0,2,1,1,2,0,0,0,0,0,1,0,3,1,0,2,1,2,1,1,1,0,0,0,0,1,1,0,0,0.22,0
112,11,0,1,1,1,1,3,0,0,0,0,0,1,0,1,1,0,2,1,1,1,0,0,0,0,1,0,2,2,1,0,0.35,1
113,1158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0.28,0
114,818,1,1,1,1,1,3,1,1,0,1,2,1,1,3,1,0,2,1,2,1,1,1,0,1,1,1,2,2,1,0,0.01,0
115,889,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,1,1,1,1,2,1,0,1,0,0,1,1,0,0,0.24,0
116,443,1,1,1,1,1,5,2,1,1,1,2,1,1,2,1,1,1,1,2,1,0,0,0,0,1,0,1,1,0,0,0.08,0
117,87,1,2,1,0,0,4,1,1,1,0,0,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,2,2,0,0,0.11,1
118,913,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,1,0,0,0.28,0
119,853,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,0,1,0,2,2,0,0,0.0,0
120,1096,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,0,0,0,0,0,0.31,1
121,530,0,1,3,2,2,4,1,1,1,1,2,1,1,3,1,2,2,1,2,0,0,0,1,0,1,1,2,2,1,0,0.1,0
122,111,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0.36,1
123,848,0,1,1,0,0,2,2,1,1,1,2,1,1,3,1,2,1,0,1,2,1,2,2,2,0,1,1,0,0,0,0.29,1
124,1022,1,0,1,0,0,2,2,1,1,1,2,1,0,3,1,2,2,1,2,1,0,0,0,0,1,0,2,1,1,0,0.16,0
125,735,0,1,1,1,1,2,0,1,1,1,2,1,1,2,1,0,2,1,2,0,1,1,0,2,1,1,1,1,1,0,0.13,0
126,256,0,0,0,0,0,2,0,1,0,1,2,1,1,0,1,0,1,1,2,1,1,0,1,0,1,0,2,2,0,0,0.08,0
127,1001,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,2,1,0,0,0.08,0
128,1173,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0.26,0
