instance_index,original_test_index,predicted_probability,SHAP_Academic_degree,SHAP_Years_Experience,SHAP_Years_experience_lastorganization,SHAP_Sector,SHAP_MonthlySalary,SHAP_MedicalInsurance,SHAP_Bonus,SHAP_OverTime,SHAP_Payment_Overtime,SHAP_Rewards_Wages_Satisfaction,SHAP_Get_Deserved_Promotion,SHAP_Training_programs_During_last_three_years,SHAP_Useful_Training_Programs,SHAP_Business_Travel,SHAP_Job_Support,SHAP_Recognition,SHAP_Emotional_Commitment,SHAP_Job_Engagement,SHAP_Distance_to_work,SHAP_Work_Live_Balance,SHAP_Physical_Stress,SHAP_Psychological_Exhaustion,SHAP_Job_Stability,SHAP_Environment_Satisfaction,SHAP_Job_Satisfaction,SHAP_Job_Opportunities
35,1032,0.67,0.005352176447977063,-0.12495554467956335,0.0343620983986879,0.047279041073672236,-0.002156247490113513,-0.014411105264919578,0.01190157964543902,0.010691000486286125,-0.007496324602850267,-0.0032528952671678395,0.03143164469244842,0.030023522785245053,-0.021354300476424542,0.003948996157538062,0.0002989728471641606,-0.01477566097606779,0.032102760990306754,-0.01255436857919721,0.003162691981037254,0.0007757844184860374,-0.01599526160375865,0.009274853239618809,0.033531700934968635,-0.00036513937572980415,0.005281366933568362,0.127397620679269
36,386,0.47,-0.00023695975396917571,-0.15186926411660026,0.023836407568630605,0.048128189990369184,0.03905184413544636,0.009423829071330506,-0.0012332265255339933,0.002570081506652332,-0.01773602407242522,0.0029877955902762815,-0.02563561095489048,0.018863117025180853,-0.0218516248426525,-0.017648721260874443,0.004747762926984494,-0.02395915991250568,0.021435589289075685,-0.009505128343693714,-0.00231188474063666,-0.007806260670241642,-0.01182724986146384,-0.007546136830293611,-0.01999448044994662,-0.0022305800299458277,0.0026562934984118896,0.11719036515923599
37,893,0.45,-0.004982180481493879,-0.11712739976162873,0.026878447968311393,0.04751273498735952,-0.017873838450222033,0.005244389388489784,0.002899228676006528,0.011990805899136616,-0.02341973547038592,0.021177484136765595,0.03510100963630123,0.017368404446606586,-0.03863689798787286,-0.0012243074025861515,0.01136414272118958,0.018911801813674283,0.026529275806482264,0.049440108496438664,-0.0067512057770649685,-0.007238146026259776,0.012651998159615064,-0.001983833946625767,0.02082861597120609,0.0025776819505756773,-0.009476957285669007,-0.1322626640724294
38,206,0.48,-0.007766104443346632,0.050958381235187276,-0.08848496481670198,-0.03604976589403435,0.027581385778561326,-0.03939378818096528,-0.005029869725492504,-0.004856294167927867,0.005283284628776719,0.024596827699650083,0.010907628440912306,0.001792653951173226,-0.0018958518865299153,-0.009618360081166075,-0.019127458082055813,0.007691874629083262,0.022630310616157435,-0.009380131000986463,-0.006357278369184818,-0.00013805955062209314,-0.011909506696085474,0.0028212814521464866,-0.03454583045842138,-0.00436518033670454,-0.00034009842604373745,0.10449387708054106
39,99,0.46,0.004946352707289014,0.064443054947548,-0.07311781452304916,-0.019696866381845576,0.02760067883764719,0.00022915141285325164,0.0025488983931327373,-0.014261133284192904,0.010580655610403283,0.01403995455512421,0.03306977841029211,0.019786846401692395,-0.02082258822445747,-0.01261560648743712,0.006509967939183203,0.002772229429386079,0.013092679338337168,-0.01732394068981075,-0.0035447150557642824,0.023889016547506227,0.0003835665628194387,6.687131604568386e-05,0.014698775670339096,-0.00825992497131875,-0.0009736660300788798,-0.10854325903572377
40,62,0.58,0.003845636575734842,0.11258426597022157,0.09143174513811157,-0.027629671169583026,-0.005318294944139648,0.0003039077952289227,0.0016240062525012583,-0.018627547049661224,0.005512458478865204,0.011306006640557713,0.02656431089040512,0.009874419025909074,-0.03245923674430833,-0.0072140369670524816,-0.0022235298554579334,-0.008988816898860257,0.003819803256177658,0.0055622132235814544,-0.0013790125670890827,0.01974840988042795,0.006973810626611415,-0.002729240723080479,0.025414972233724548,-0.01040555823003175,-0.03196521961010309,-0.0961268378327707
41,166,0.59,-0.006228948079322031,-0.1312318636749575,0.03797926810450202,-0.02252547268744869,-0.015207460272205462,0.007111051447830545,-0.0014733541343312723,0.02611649678024433,0.029760197541836793,0.009386964681231413,0.021289785448361805,0.023361866842930363,0.016738762959157036,-0.0023894062861761003,0.0036788088785840107,0.009639684606122067,0.004763004368886112,-0.010000093303174145,0.004468310222897532,-0.011009727576610555,-0.001636261597238365,-0.015116372197648352,0.015569729600721584,-0.0038059485652559327,0.026155803527638372,0.07410413675934378
42,1097,0.53,-0.010157863035774827,0.09280344944113068,-0.07585847513589782,-0.022251719678032494,-0.04743831817098008,0.006217710281321488,-0.01025327577131534,0.01766122209515694,-0.009740979635354608,-0.017296936264903036,-0.045139828525190544,0.038114165836660656,-0.012543763548657964,-0.010721983828171425,0.005227451123515038,-0.011418462563677092,0.013479870211573635,-0.008261249278570576,-0.0072702938825096606,-0.0038163059310003305,-0.019524357756175212,0.0134640182019602,0.04521147217176961,0.0017654198942353705,-0.0024183771888652665,0.10966637433367299
43,975,0.8,-0.004806503663720972,0.08769479504891835,-0.030431437836980248,0.05987914534367022,0.029143675195455333,0.007003676489522305,0.005333403993142094,-0.0035146326428894693,0.00805561282646369,-0.02195549755050153,0.02592632317203856,0.04558289184363273,-0.007752977034079652,-0.00752610813764329,-0.008845078162676422,-0.00014890087413277573,-0.0293097891981145,-0.002930510207909628,-0.00858982667889531,0.03667465859279465,0.0026702569060294452,0.0071154869815471524,-0.0151915038468531,-0.005987090741897118,0.0062963367137854834,0.12511255686521414
44,1054,0.78,-0.004341499844477899,0.066506946227633,-0.0611505162979221,0.03149562605160864,0.027694928598986326,0.010868957247421731,-0.006437551639925028,0.014183344083216302,0.00971855648233868,0.017790281855612065,0.030730784871863735,0.01513737634022237,0.014633272135371552,0.0014836712770666099,0.011288623547646615,-0.0067779168015662875,0.016901336925702677,-0.02287293702831823,-0.00530394525151325,-0.031715188808191144,0.0036833322296158503,0.006657261839728329,0.02875574905353617,-0.002290455599836295,0.016378411643786762,0.09648051425631302
45,902,0.78,-0.0060791245243573735,0.15212532035615067,0.12822945356564944,-0.027168267525509115,-0.018507147041482278,-0.026063316825940482,-0.001474814846929692,-0.00929505960503472,0.015688101693535027,0.02718613190455146,0.042225842701839114,0.024664867257408348,0.013298712898729829,-0.0015987648886922551,0.0019412451088562396,0.004124993744954954,0.020130265553082043,-0.006268321856146274,-0.0006115732756596371,-0.0026123024437396526,-0.017625499698838875,0.008210948227069083,0.032434420201305846,-0.009896837519193733,0.03360910746144341,-0.0971694172271302
46,847,0.58,-0.005179698349101894,-0.10254239323279327,0.05573172752510045,-0.03446185781196718,-0.06980064283544038,-0.006937018340282034,0.0026363356179088,-0.0045287975354872285,-0.004092485629982614,0.011132451208512945,0.032902710116758827,0.027027971782044063,0.027633969516124634,-0.005200167781659867,-0.004447844853527568,0.009279545480838376,0.023018868811383802,0.0660967468312801,0.05487772215497265,0.002930817968897666,0.017158382768991627,-0.018864684985868917,0.01644902943941043,0.007677290933092031,0.02450602525816625,-0.043505040661451645
47,1138,0.49,0.003759448439695682,-0.12271003062664844,0.03877754010840344,-0.015632556714441352,-0.015097531187625147,-0.0233524152368816,-0.004843707181544589,0.007031589607669863,-0.005821522965674045,-0.019831798119302593,-0.05102787914430983,0.017855004094392113,-0.008208733939550374,-0.0014073093286874614,-0.0048819534829852036,-0.017338647560368264,0.024080213015377952,-0.0068816910181319565,0.01571939258530659,-0.009090165755059908,0.0026693730182989015,0.008387167822141932,0.04644085442121846,0.013474029507982963,0.02520489692612776,0.09222539611051589
